transaction_id,no_of_products,product_id_1,quantity_1,product_id_2,quantity_2,product_id_3,quantity_3,product_id_4,quantity_4,product_id_5,quantity_5,product_id_6,quantity_6,product_id_7,quantity_7,product_id_8,quantity_8,product_id_9,quantity_9
txn1,4,pid52,4,pid225,9,pid877,7,pid697,9,,,,,,,,,,
txn2,4,pid278,10,pid347,6,pid813,7,pid410,2,,,,,,,,,,
txn3,2,pid816,3,pid653,1,,,,,,,,,,,,,,
txn4,1,pid72,5,,,,,,,,,,,,,,,,
txn5,4,pid685,5,pid943,5,pid707,10,pid217,6,,,,,,,,,,
txn6,1,pid572,4,,,,,,,,,,,,,,,,
txn7,7,pid957,5,pid16,8,pid580,5,pid7,10,pid267,10,pid186,6,pid573,1,,,,
txn8,9,pid348,9,pid681,9,pid53,3,pid7,3,pid608,3,pid765,9,pid783,4,pid870,2,pid919,9
txn9,8,pid490,10,pid317,3,pid458,2,pid950,5,pid93,10,pid149,4,pid293,3,pid680,6,,
txn10,5,pid93,4,pid550,4,pid627,5,pid122,6,pid567,3,,,,,,,,
txn11,8,pid378,6,pid846,1,pid450,6,pid316,4,pid384,5,pid922,10,pid24,6,pid356,6,,
txn12,9,pid151,9,pid652,5,pid586,7,pid443,10,pid338,5,pid678,1,pid118,8,pid173,9,pid827,4
txn13,4,pid84,5,pid741,5,pid707,2,pid195,5,,,,,,,,,,
txn14,4,pid242,1,pid423,1,pid948,5,pid321,2,,,,,,,,,,
txn15,6,pid436,3,pid567,4,pid957,7,pid174,8,pid5,6,pid702,1,,,,,,
txn16,2,pid977,1,pid253,10,,,,,,,,,,,,,,
txn17,7,pid883,5,pid137,3,pid346,4,pid581,1,pid871,2,pid229,7,pid485,2,,,,
txn18,3,pid73,5,pid474,8,pid829,9,,,,,,,,,,,,
txn19,2,pid210,8,pid937,9,,,,,,,,,,,,,,
txn20,5,pid908,7,pid217,6,pid987,2,pid441,3,pid122,2,,,,,,,,
